feature_name,gain_importance,feature_group
Dynamic_Tier,160578.17527472973,Master
poi_driver_catchment,10918.501242399216,Spatial
Is_High_Season,3489.939300298691,Temporal
poi_total_catchment,2315.9640086889267,Spatial
poi_count_bakery,1913.1408725976944,Spatial
poi_count_hotel,1822.1602765321732,Spatial
Holiday_Count,1804.9713992476463,Temporal
Outlet_Type,1793.0425723791122,Master
poi_count_restaurant,1556.198720574379,Spatial
poi_count_resort,1362.0853749513626,Spatial
poi_count_buddhist_temple,1065.5810860395432,Spatial
poi_count_hospital,883.0308037996292,Spatial
poi_count_cafe,839.9949491024017,Spatial
poi_count_education,833.1167612075806,Spatial
poi_count_preschool,716.2575347423553,Spatial
poi_count_bus_station,713.897191286087,Spatial
Is_Cultural_Month,627.7433094978333,Temporal
poi_count_convenience_store,567.599112033844,Spatial
poi_count_gym,536.8602516651154,Spatial
Has_Youth_Catchment,510.66073989868164,Spatial
poi_count_gas_station,504.0797288417816,Spatial
poi_count_accommodation,474.90838861465454,Spatial
poi_count_catholic_church,473.45953702926636,Spatial
poi_count_grocery_store,469.82587134838104,Spatial
poi_count_park,437.87964963912964,Spatial
Number_of_Weekends,430.98214042186737,Temporal
poi_count_college_university,420.1080024242401,Spatial
poi_count_hindu_temple,266.2632291316986,Spatial
poi_count_beach,259.5539779663086,Spatial
poi_count_school,259.3565330505371,Spatial
poi_count_train_station,236.55610942840576,Spatial
poi_count_mosque,209.6108283996582,Spatial
poi_count_transportation,207.467999458313,Spatial
poi_count_landmark_and_historical_building,205.91219091415405,Spatial
Has_Athletic_Catchment,190.69794988632202,Spatial
poi_cannibal_risk,184.28033816814423,Spatial
poi_count_supermarket,163.8291826248169,Spatial
poi_count_bar,120.53461802005768,Spatial
poi_count_playground,119.7745418548584,Spatial
poi_count_church_cathedral,113.83187055587769,Spatial
poi_count_educational_services,87.62835049629211,Spatial
poi_count_national_park,83.17846059799194,Spatial
Has_Leisure_Catchment,56.91368103027344,Spatial
poi_count_sports_club_and_league,50.945520877838135,Spatial
Tuition_Weekend_Surge,35.82796931266785,Interaction
Sports_Big_Match_Spike,19.73819923400879,Interaction
poi_count_stadium_arena,18.00324058532715,Spatial
Has_Cannibalization_Risk,0.0,Spatial
Has_Health_Catchment,0.0,Spatial
poi_count_sports_and_recreation_venue,0.0,Spatial
poi_count_cricket_ground,0.0,Spatial
poi_count_liquor_store,0.0,Spatial
Has_High_Footfall_Catchment,0.0,Spatial
Tourist_Peak_Multiplier,0.0,Interaction
Health_Catchment_Spike,0.0,Interaction
